id,user_id,wallet_address,transaction_hash,amount_sol,amount_usd,purchase_date,status
0726d8ec-d70c-45da-831b-199717f24f43,548901127085883402,9G34E4mDek7ddi2Yg3RFAUSdHL7AKikGsKD7mNjnz12T,4fEgqCiBwewCUPA89dc5WmdYUpgQmXmg6F1JTcD6bYua9cGCHMcn6BUQNCqwdWTSWEZhKNsbCjR9wUusgiS6qF4o,0.02,3.97,2025-08-13 05:06:52.596503+00,completed
075b6677-714b-4e28-b074-5c9a1c63ca94,485759947074961409,5Hhyg8nx26bT5zRHoueDNjm7z6BFHxYFdKre6wy22qsM,38T4GG3GYK32dN5zeHyQTMGEP3LpuPvRxaTVxyuxT5PfzcAi3BFydNSDWQQZ9cZQFRw31quekDKrLzHXT4Co7bbX,0.02,4,2025-07-22 12:40:58.964132+00,completed
081219e1-cc61-42d9-8e48-53663bb184b4,572271168996900866,DaZeuoLkkKTwm91UbQrtt9UJN8PQJPJRuqDbfwLfGGME,5JCxxBJ45v2WFY8iUbgjLaZHvGHhB5utwy5M6oUMgDY1yAEwZkWxYjnBgrBf9H65tFsfEc8aR435JAM5d8AxrqSm,0.02,4,2025-07-22 12:36:53.868571+00,completed
08a14e68-ba36-41a4-bdca-570b0a5a0754,427828995787063298,4LVu3mW7fRGFXZpsqfPDcduK9QcpKkceWc4Kf1UoAUbK,3oZg7ASKU3odG66pa8AvCg1gP86RR4rQs8jdqVq2qoTRv1v8sipaeY8aQxAEkLRpVy7CJGhEkbBtbwGUPupCUqm2,0.02,4.05,2025-07-22 18:44:55.621081+00,completed
08d27d22-c66f-4bb6-a2b1-0a0d2b20de8f,1313915523368484947,A2nPbFayatBmN7QL4SJKQSbNE229dRtWzdVCUhLxGhos,4MXsr5qWfNjt5jWNiMqtVP3kV4cRMpeSHPkPawCoRTfWGHYX2YV2KNLE1NkBr3BMUgFgm8y4TV71e6b37NJUrbmD,0.02,4.04,2025-07-22 19:26:58.528316+00,completed
0932cb4d-9234-4e38-af22-de8df4cf0287,929381213012107314,63uUCGH3m83THPUjk8txyYQEkTGtpLz6TFcDD7C3heci,5SGqPucG7eankg4kPpyBdoMPa3x8SD9kkjKuXNnX2NwcGjCMcJzgiM7y8k3pjujLPWeooWnzvHAYvsYKurh52T4A,0.02,4.04,2025-07-22 13:40:29.141396+00,completed
0938e66e-841a-41c5-a864-c5b5e3b2a9d6,570622812075851786,C233FAbz6RB8Howk5WHR2ybHs6JMKvJG3kiRUoEh6BDd,557ryu67mqgmvyR5tz647rLLJt5remDnET9X9bRQU8fS6siHudAMpkhLMJrf67kAqSDxZNMpbboBPj2ojQXfWR6Q,0.02,4.05,2025-07-22 13:51:10.298716+00,completed
09435edc-5237-4e0a-afa6-b0ed6a7f638b,560790524915744770,GvSMRSLd89zQpJcm9BYs3gRNjpHzYp6qez6tqzUprCwg,4WdVSCN1cZjZa8DCLfRxzZeNMkHdsPxZticBBgKgXFhbP6aaQQeR3Ds1m2kEVzxKw8jHVocxxHrtX54ffuHqNSKj,0.02,4.04,2025-07-23 03:16:16.973101+00,completed
0a5b8b46-614d-4b4c-989c-724258663b18,755103401582526516,9CZFb8qPAQjiqtJYyMkpEBA8RhMUHsgGf4cX8gYPqqw6,3KUXSU7jJifPvvxHzoRiAzo3dYWtuPT7dpULoodK48KhwDTMsW4boeRmiWdx15PvPaoodVRQJUXsJxpbhxcJzRJr,0.02,4.05,2025-07-22 13:20:49.661231+00,completed
0a6e86c7-7544-408a-8e8a-f6e36946f3fc,1227802140131463219,3aD8eTB8k23EcrYnynUkFEFRx6XKyT4CKpsfBEaLKUqp,26dgwzvRB5EZUts6VbXM41xzMLsLk54xjZHE1Cv33TJFXYLsqTJ78uD6PNMUD1G3vgtL4KXhrUa13RXNruzxiYHS,0.02,4.03,2025-07-23 06:15:04.128236+00,completed
